Date,open,high,low,close,volume
2025-09-22,31.14,31.24,31.14,31.16,606892
2025-09-23,31.16,31.2,31.08,31.1,915476
2025-09-24,31.12,31.16,31.06,31.12,483930
2025-09-25,31.1,31.26,31.08,31.16,522337
2025-09-26,31.18,31.26,31.12,31.12,522000
2025-09-29,31.14,31.22,31.12,31.22,462012
2025-09-30,31.16,31.22,31.14,31.2,724335
2025-10-01,31.22,31.4,31.2,31.28,670069
2025-10-02,31.3,31.3,31.26,31.28,542962
2025-10-03,31.28,31.3,31.24,31.24,525009
2025-10-06,31.26,31.3,31.22,31.22,596199
2025-10-07,31.28,31.28,31.18,31.18,834507
2025-10-08,31.24,31.26,31.18,31.2,999283
2025-10-09,31.18,31.3,31.18,31.3,642063
2025-10-10,31.3,31.38,31.26,31.3,788096
2025-10-13,31.36,31.36,31.26,31.28,481642
2025-10-14,31.26,31.28,31.14,31.24,1778399
2025-10-15,31.18,31.4,31.16,31.36,802285
2025-10-16,31.34,31.38,31.22,31.34,1073306
2025-10-17,31.3,31.3,31.24,31.28,595082
2025-10-20,31.28,31.4,31.26,31.4,967336
2025-10-21,31.38,31.4,31.34,31.38,396863
2025-10-22,31.38,31.58,31.36,31.58,990692
2025-10-23,31.48,31.52,31.46,31.5,545814
2025-10-24,31.54,31.54,31.5,31.5,349092
2025-10-27,31.5,31.58,31.44,31.52,606664
2025-10-28,31.52,31.6,31.5,31.6,501203
2025-10-29,31.6,31.6,31.54,31.58,520048
2025-10-30,31.58,31.7,31.54,31.7,557098
2025-10-31,31.68,31.68,31.52,31.58,486664
2025-11-03,31.6,31.62,31.54,31.54,334057
2025-11-04,31.52,31.64,31.5,31.64,364676
2025-11-05,31.64,31.64,31.54,31.56,542729
2025-11-06,31.58,31.6,31.54,31.58,413868
2025-11-07,31.58,31.64,31.56,31.64,376673
2025-11-10,31.62,31.68,31.58,31.66,297617
2025-11-11,31.68,31.68,31.62,31.68,406991
2025-11-12,31.62,31.68,31.6,31.68,402317
2025-11-13,31.66,31.66,31.4,31.64,736684
2025-11-14,31.64,31.64,31.48,31.56,406807
2025-11-17,31.56,31.6,31.5,31.5,242886
2025-11-18,31.5,31.6,31.46,31.46,546371
2025-11-19,31.52,31.54,31.48,31.48,242950
2025-11-20,31.54,31.54,31.44,31.44,252592
2025-11-21,31.48,31.5,31.44,31.48,257702
2025-11-24,31.5,31.52,31.46,31.46,1137780
2025-11-25,31.46,31.52,31.46,31.48,333709
2025-11-26,31.46,31.5,31.46,31.5,267222
2025-11-27,31.5,31.58,31.5,31.58,226178
2025-11-28,31.6,31.62,31.5,31.62,295165
2025-12-01,31.52,31.58,31.52,31.52,215017
2025-12-02,31.56,31.56,31.5,31.52,278338
2025-12-03,31.5,31.62,31.5,31.6,254327
2025-12-04,31.6,31.64,31.58,31.58,394722
2025-12-05,31.58,31.64,31.58,31.64,225572
2025-12-08,31.6,31.64,31.6,31.6,226297
2025-12-09,31.62,31.68,31.62,31.68,324875
2025-12-10,31.64,31.68,31.62,31.68,284476
2025-12-11,31.66,31.7,31.64,31.68,239927
2025-12-12,31.66,31.7,31.66,31.68,273149
2025-12-15,31.7,31.8,31.66,31.7,414041
2025-12-16,31.7,31.74,31.66,31.68,408550
2025-12-17,31.72,31.74,31.7,31.72,444596
