Date,open,high,low,close,volume
2021-01-04,92.4,94.02,90.32,93.56,706112
2021-01-05,93.14,96.88,93.02,96.62,704606
2021-01-06,97.0,97.0,93.92,94.54,763896
2021-01-07,95.28,96.26,94.06,96.1,474873
2021-01-08,96.1,100.2,95.74,99.5,1075366
2021-01-11,101.0,102.0,99.38,100.4,829247
2021-01-12,100.4,102.5,99.44,101.5,729356
2021-01-13,101.5,101.5,95.16,97.3,1603380
2021-01-14,97.8,97.88,93.18,93.18,1310189
2021-01-15,92.86,92.86,87.84,88.78,1697388
2021-01-18,89.0,90.18,87.7,87.72,686956
2021-01-19,88.48,88.74,86.66,88.48,901907
2021-01-20,89.0,90.4,88.46,90.4,999514
2021-01-21,91.6,95.48,90.7,95.0,1228571
2021-01-22,94.58,96.4,93.54,95.92,821802
2021-01-25,96.9,96.96,94.58,94.92,588029
2021-01-26,94.88,95.3,91.56,91.56,882357
2021-01-27,91.82,91.9,87.56,89.66,1132347
2021-01-28,88.0,92.02,87.08,91.42,897708
2021-01-29,91.72,96.1,90.92,94.58,1222704
2021-02-01,94.2,96.36,93.88,95.48,647377
2021-02-02,93.9,94.48,92.08,92.22,1539315
2021-02-03,93.0,93.4,91.86,92.98,843392
2021-02-04,91.2,93.66,89.82,90.3,1225831
2021-02-05,90.64,92.46,90.02,90.86,783759
2021-02-08,90.1,90.92,89.06,90.34,489059
2021-02-09,90.2,90.22,88.24,88.5,597407
2021-02-10,88.32,89.26,86.34,87.0,789899
2021-02-11,87.0,90.38,86.82,88.28,1216856
2021-02-12,88.0,91.24,86.84,90.68,1288937
2021-02-15,90.74,91.62,89.66,89.8,657312
2021-02-16,90.1,90.28,88.7,89.0,591296
2021-02-17,88.5,89.34,87.04,87.04,777026
2021-02-18,87.1,87.84,86.22,87.1,635370
2021-02-19,87.3,88.82,86.36,86.68,895242
2021-02-22,86.48,86.48,82.9,83.1,1026197
2021-02-23,83.1,83.96,79.18,81.66,1354328
2021-02-24,81.36,83.38,79.6,80.86,1034492
2021-02-25,80.98,82.0,80.28,81.5,691058
2021-02-26,79.06,80.58,77.66,79.88,1228550
2021-03-01,81.42,82.42,80.06,80.5,960652
2021-03-02,80.28,82.04,80.02,80.02,741156
2021-03-03,80.48,81.54,77.44,78.3,890108
2021-03-04,77.9,77.96,75.62,76.16,1345622
2021-03-05,75.5,75.66,73.7,74.14,1234273
2021-03-08,75.0,78.16,73.6,78.0,1317967
2021-03-09,78.1,80.54,76.9,80.1,1229841
2021-03-10,83.0,85.18,79.6,84.8,2196204
2021-03-11,85.64,87.54,84.88,87.12,1011075
2021-03-12,86.9,87.68,85.48,85.48,727714
2021-03-15,85.74,86.94,84.6,85.4,550247
2021-03-16,85.84,86.0,83.8,83.8,568225
2021-03-17,84.0,84.04,81.42,81.68,671576
2021-03-18,81.96,83.1,80.24,80.24,619763
2021-03-19,79.62,80.36,78.66,79.98,865862
2021-03-22,80.02,80.4,79.06,80.4,552027
2021-03-23,79.86,81.12,78.88,79.62,515270
2021-03-24,79.36,79.4,77.24,77.24,610996
2021-03-25,76.6,78.18,75.76,78.12,710110
2021-03-26,78.74,79.56,78.26,79.2,571069
2021-03-29,79.34,79.66,77.48,78.16,437726
2021-03-30,78.2,78.28,77.36,77.5,558101
2021-03-31,77.34,78.94,75.22,78.62,1140778
2021-04-01,78.64,81.25,77.68,80.87,652680
2021-04-06,80.9,81.12,79.14,79.8,548523
2021-04-07,79.65,83.48,79.3,82.81,836208
2021-04-08,83.62,84.44,82.83,83.03,663847
2021-04-09,83.03,83.78,82.01,83.45,467305
2021-04-12,83.54,85.2,82.16,84.84,733698
2021-04-13,85.07,90.49,84.51,90.49,1242317
2021-04-14,90.77,91.88,89.13,91.24,1320497
2021-04-15,90.78,92.27,90.36,91.98,679040
2021-04-16,92.03,93.0,90.28,91.0,873977
2021-04-19,91.0,93.46,90.59,92.6,705812
2021-04-20,92.61,92.79,90.68,92.08,658195
2021-04-21,90.48,90.48,87.13,89.45,1668865
2021-04-22,89.57,90.64,88.82,90.62,800150
2021-04-23,89.85,92.05,89.59,91.67,741971
2021-04-26,91.96,92.2,89.93,90.0,378687
2021-04-27,89.9,90.6,88.17,88.91,460939
2021-04-28,88.3,89.26,87.4,87.66,616327
2021-04-29,87.49,88.88,85.66,85.89,597347
2021-04-30,84.48,87.69,84.02,86.0,1114331
2021-05-03,85.65,86.83,84.8,86.27,432471
2021-05-04,85.83,86.18,83.6,84.13,897997
2021-05-05,83.15,83.45,80.52,83.35,646992
2021-05-06,82.6,83.28,81.22,81.77,677711
2021-05-07,81.8,83.2,80.41,81.86,856562
2021-05-10,81.0,81.95,79.32,80.0,686700
2021-05-11,79.61,80.43,78.23,79.39,780314
2021-05-12,77.99,79.18,72.85,72.97,1677645
2021-05-13,72.19,73.15,69.32,72.5,1550476
2021-05-14,72.48,73.02,71.0,72.4,1039095
2021-05-17,73.1,73.83,71.21,71.5,831308
2021-05-18,70.98,73.38,69.95,72.74,1326503
2021-05-19,72.57,72.92,70.3,71.31,803220
2021-05-20,71.8,73.67,71.06,73.22,1046965
2021-05-21,73.5,74.25,71.95,72.0,746023
2021-05-24,72.2,72.2,71.06,71.79,575206
2021-05-25,72.0,74.81,71.92,74.81,876374
2021-05-26,75.14,75.38,74.34,74.82,469976
2021-05-27,74.45,74.58,73.15,74.54,1177868
2021-05-28,74.86,75.39,74.13,74.13,517473
2021-05-31,74.3,74.59,73.91,74.24,244560
2021-06-01,74.11,75.81,73.7,73.88,597238
2021-06-02,73.91,74.5,72.36,72.99,631472
2021-06-03,73.74,73.76,72.49,73.12,575862
2021-06-04,73.08,75.04,72.68,74.63,672086
2021-06-07,74.61,74.68,73.37,74.14,468125
2021-06-08,74.71,77.43,74.45,76.41,918552
2021-06-09,76.9,79.47,76.8,77.55,1264877
2021-06-10,77.44,78.53,75.76,76.8,6530967
2021-06-11,76.2,76.27,74.7,75.64,1895328
2021-06-14,75.99,77.17,73.52,73.89,2413362
2021-06-15,74.98,76.61,74.21,75.02,1654696
2021-06-16,75.5,76.53,74.7,75.96,913943
2021-06-17,75.14,75.89,73.5,75.89,1379506
2021-06-18,75.49,76.0,74.5,74.85,1909022
2021-06-21,74.49,75.43,74.0,75.3,829162
2021-06-22,74.34,75.8,72.68,75.6,1094879
2021-06-23,75.72,76.25,74.68,74.78,586937
2021-06-24,74.9,76.65,74.06,76.65,1415083
2021-06-25,77.0,77.67,76.22,76.71,746276
2021-06-28,76.66,77.24,75.86,77.05,991443
2021-06-29,77.7,80.06,77.59,79.81,1212598
2021-06-30,80.3,80.58,77.87,77.87,1123045
2021-07-01,77.9,78.09,76.61,77.75,956972
2021-07-02,77.75,79.03,77.55,78.0,786031
2021-07-05,77.95,78.04,76.53,77.6,521207
2021-07-06,77.43,78.41,77.15,78.19,588633
2021-07-07,78.3,79.62,77.99,79.05,888666
2021-07-08,79.75,80.93,77.7,78.0,1069025
2021-07-09,77.8,78.46,74.78,74.89,1105925
2021-07-12,74.59,76.14,74.12,75.68,818332
2021-07-13,75.68,76.8,74.75,76.7,824016
2021-07-14,76.22,76.79,75.01,75.26,791749
2021-07-15,73.0,74.76,68.19,68.47,2780973
2021-07-16,68.15,68.48,65.46,68.3,1806513
2021-07-19,67.49,70.43,66.75,70.07,1175189
2021-07-20,69.54,69.71,66.39,66.39,1419283
2021-07-21,67.0,68.83,66.42,66.42,1665361
2021-07-22,66.78,69.82,66.62,69.56,1317873
2021-07-23,70.0,71.38,69.17,71.26,755890
2021-07-26,70.64,71.26,70.07,70.13,583305
2021-07-27,70.23,73.63,70.16,73.11,1652687
2021-07-28,73.5,75.42,73.42,74.97,939383
2021-07-29,74.58,75.55,73.93,74.25,777595
2021-07-30,73.5,74.94,73.08,74.86,1163169
2021-08-02,74.68,75.99,74.51,75.5,964507
2021-08-03,75.68,77.05,74.52,74.95,809122
2021-08-04,73.11,74.52,72.0,73.5,1642301
2021-08-05,72.84,76.44,72.1,76.05,1108730
2021-08-06,76.2,77.24,75.84,77.19,1041326
2021-08-09,77.38,77.65,75.68,76.21,586651
2021-08-10,76.32,78.35,76.32,77.2,530234
2021-08-11,77.52,77.7,74.01,74.01,756326
2021-08-12,74.05,75.05,71.71,72.06,1355417
2021-08-13,71.69,73.14,71.48,72.74,878334
2021-08-16,72.0,72.5,70.86,72.25,872100
2021-08-17,71.5,75.03,71.09,74.08,1193225
2021-08-18,74.5,79.33,74.0,78.04,1356666
2021-08-19,77.98,79.78,77.2,79.46,984307
2021-08-20,79.78,80.22,78.27,79.32,819431
2021-08-23,79.5,80.21,79.17,79.7,605138
2021-08-24,80.02,81.43,79.42,81.21,690137
2021-08-25,81.25,82.14,80.65,80.94,554761
2021-08-26,81.19,81.59,79.96,80.87,547157
2021-08-27,80.02,80.43,74.48,74.78,1935390
2021-08-30,74.25,76.48,73.66,75.96,884509
2021-08-31,75.92,76.9,75.37,76.72,978827
2021-09-01,77.0,82.66,76.84,82.06,1384435
2021-09-02,83.06,83.56,81.18,81.77,808659
2021-09-03,81.1,81.64,79.2,81.05,657583
2021-09-06,81.0,82.15,80.9,82.12,280981
2021-09-07,82.02,83.08,81.47,81.69,621038
2021-09-08,81.68,82.43,80.29,80.99,654552
2021-09-09,80.66,80.98,79.21,80.29,570707
2021-09-10,80.6,81.0,79.11,79.78,566455
2021-09-13,79.73,80.76,78.52,78.82,580353
2021-09-14,78.53,79.53,77.06,77.53,673417
2021-09-15,75.99,76.57,73.77,74.0,1124173
2021-09-16,73.42,74.9,72.7,74.5,1096208
2021-09-17,75.33,76.31,73.87,74.27,4826312
2021-09-20,72.31,72.59,68.79,69.05,1728768
2021-09-21,69.69,70.0,68.36,69.27,1325899
2021-09-22,68.82,68.85,67.67,68.66,940488
2021-09-23,69.05,70.48,68.7,68.7,779446
2021-09-24,68.9,69.12,65.46,65.9,1198180
2021-09-27,66.16,66.3,64.42,65.35,971051
2021-09-28,64.65,65.33,62.66,63.97,1157834
2021-09-29,64.44,65.72,64.2,65.14,896157
2021-09-30,65.16,65.92,62.71,63.04,992213
2021-10-01,62.7,64.11,62.41,64.07,919458
2021-10-04,64.03,65.67,63.71,64.7,1023992
2021-10-05,64.81,66.8,64.34,66.18,1235630
2021-10-06,65.99,66.91,65.06,65.92,1278362
2021-10-07,66.24,66.65,65.42,66.49,768235
2021-10-08,66.49,67.19,65.62,66.33,1029619
2021-10-11,66.72,67.0,63.68,63.83,745268
2021-10-12,63.29,66.14,62.94,64.98,1044489
2021-10-13,62.9,64.15,61.22,63.87,1486555
2021-10-14,64.23,65.31,63.94,65.31,1222685
2021-10-15,65.5,69.67,65.26,69.67,1390143
2021-10-18,69.37,70.54,69.27,69.9,832294
2021-10-19,70.39,71.73,69.95,71.35,866909
2021-10-20,72.2,72.63,71.28,71.79,908608
2021-10-21,68.8,71.4,67.35,70.59,976824
2021-10-22,70.25,70.68,67.68,68.0,1269078
2021-10-25,67.6,68.96,66.42,66.7,1017165
2021-10-26,67.15,67.74,66.39,66.98,793174
2021-10-27,66.39,67.08,65.64,65.73,750188
2021-10-28,65.5,65.98,62.43,63.0,1272143
2021-10-29,62.37,62.84,60.63,62.12,1358425
2021-11-01,62.41,63.39,61.15,62.0,1259693
2021-11-02,62.48,64.2,62.18,62.77,1041876
2021-11-03,62.3,62.72,61.28,61.51,903202
2021-11-04,61.89,63.04,61.36,61.57,866828
2021-11-05,61.76,62.41,60.71,60.82,947261
2021-11-08,60.98,61.29,59.97,60.91,634576
2021-11-09,61.0,63.61,60.63,63.05,1198405
2021-11-10,61.81,61.94,58.87,61.0,2420363
2021-11-11,60.68,61.07,58.98,59.34,1001273
2021-11-12,59.65,60.35,59.39,59.92,897565
2021-11-15,60.4,60.46,59.03,59.56,1173374
2021-11-16,59.56,61.22,59.2,60.54,921380
2021-11-17,60.6,61.61,59.72,59.79,883785
2021-11-18,59.74,60.25,58.95,60.05,983734
2021-11-19,60.21,64.43,59.79,63.85,2157932
2021-11-22,63.97,63.99,60.64,60.65,1173030
2021-11-23,60.56,61.14,59.59,60.18,906074
2021-11-24,61.94,62.98,60.32,61.51,1193175
2021-11-25,62.07,62.56,61.05,61.51,733943
2021-11-26,61.8,63.74,59.71,59.85,2380578
2021-11-29,60.43,60.43,57.55,58.15,1436709
2021-11-30,58.0,58.32,55.19,55.19,2526498
2021-12-01,55.54,56.46,54.56,56.08,1402841
2021-12-02,55.3,55.59,52.24,53.39,1896506
2021-12-03,53.26,53.89,50.68,51.09,1574222
2021-12-06,50.22,50.31,47.28,48.785,2648959
2021-12-07,49.755,52.3,49.4,51.17,1593307
2021-12-08,51.2,53.1,50.08,52.54,1448965
2021-12-09,52.58,52.58,50.41,50.91,1101258
2021-12-10,50.02,51.0,49.18,49.285,803324
2021-12-13,49.5,49.5,47.72,47.85,1416008
2021-12-14,48.295,48.905,46.61,46.88,1358148
2021-12-15,46.955,47.02,45.55,45.88,1453841
2021-12-16,47.12,48.255,45.475,45.74,1621871
2021-12-17,45.335,48.235,44.225,47.85,2743330
2021-12-20,47.73,48.16,45.035,45.345,2349603
2021-12-21,45.505,47.315,44.865,47.215,1740283
2021-12-22,49.805,50.09,47.12,47.56,2200697
2021-12-23,47.855,48.495,47.485,47.945,883157
2021-12-24,48.155,48.31,47.64,47.865,227209
2021-12-27,47.985,49.37,47.55,48.76,746151
