Dates;Peak excluded;Peak included
1970;0;0
1970,25;0;0
1970,5;0;0
1970,75;0;0
1971;0;0
1971,25;0;0
1971,5;0;0
1971,75;0;0
1972;0;0
1972,25;0;0
1972,5;0;0
1972,75;0;0
1973;0;0
1973,25;0;0
1973,5;0;0
1973,75;0;0
1974;0;0
1974,25;0;0
1974,5;0;1
1974,75;1;1
1975;1;1
1975,25;0;0
1975,5;0;0
1975,75;0;0
1976;0;0
1976,25;0;0
1976,5;0;0
1976,75;0;0
1977;0;0
1977,25;0;0
1977,5;0;0
1977,75;0;0
1978;0;0
1978,25;0;0
1978,5;0;0
1978,75;0;0
1979;0;0
1979,25;0;0
1979,5;0;0
1979,75;0;0
1980;0;1
1980,25;1;1
1980,5;1;1
1980,75;1;1
1981;1;1
1981,25;1;1
1981,5;1;1
1981,75;1;1
1982;1;1
1982,25;1;1
1982,5;1;1
1982,75;0;0
1983;0;0
1983,25;0;0
1983,5;0;0
1983,75;0;0
1984;0;0
1984,25;0;0
1984,5;0;0
1984,75;0;0
1985;0;0
1985,25;0;0
1985,5;0;0
1985,75;0;0
1986;0;0
1986,25;0;0
1986,5;0;0
1986,75;0;0
1987;0;0
1987,25;0;0
1987,5;0;0
1987,75;0;0
1988;0;0
1988,25;0;0
1988,5;0;0
1988,75;0;0
1989;0;0
1989,25;0;0
1989,5;0;0
1989,75;0;0
1990;0;0
1990,25;0;0
1990,5;0;0
1990,75;0;0
1991;0;0
1991,25;0;0
1991,5;0;0
1991,75;0;0
1992;0;1
1992,25;1;1
1992,5;1;1
1992,75;1;1
1993;1;1
1993,25;1;1
1993,5;1;1
1993,75;0;0
1994;0;0
1994,25;0;0
1994,5;0;0
1994,75;0;0
1995;0;0
1995,25;0;0
1995,5;0;0
1995,75;0;0
1996;0;0
1996,25;0;0
1996,5;0;0
1996,75;0;0
1997;0;0
1997,25;0;0
1997,5;0;0
1997,75;0;0
1998;0;0
1998,25;0;0
1998,5;0;0
1998,75;0;0
1999;0;0
1999,25;0;0
1999,5;0;0
1999,75;0;0
2000;0;0
2000,25;0;0
2000,5;0;0
2000,75;0;0
2001;0;0
2001,25;0;0
2001,5;0;0
2001,75;0;0
2002;0;0
2002,25;0;0
2002,5;0;0
2002,75;0;0
2003;0;0
2003,25;0;0
2003,5;0;0
2003,75;0;0
2004;0;0
2004,25;0;0
2004,5;0;0
2004,75;0;0
2005;0;0
2005,25;0;0
2005,5;0;0
2005,75;0;0
2006;0;0
2006,25;0;0
2006,5;0;0
2006,75;0;0
2007;0;0
2007,25;0;0
2007,5;0;0
2007,75;0;0
2008;0;1
2008,25;1;1
2008,5;1;1
2008,75;1;1
2009;1;1
2009,25;1;1
2009,5;0;0
2009,75;0;0
2010;0;0
2010,25;0;0
2010,5;0;0
2010,75;0;0
2011;0;0
2011,25;0;0
2011,5;0;1
2011,75;1;1
2012;1;1
2012,25;1;1
2012,5;1;1
2012,75;1;1
2013;1;1
2013,25;0;0
2013,5;0;0
2013,75;0;0
2014;0;0
2014,25;0;0
2014,5;0;0
2014,75;0;0
2015;0;0
2015,25;0;0
2015,5;0;0
2015,75;0;0
2016;0;0
2016,25;0;0
2016,5;0;0
2016,75;0;0
2017;0;0
2017,25;0;0
2017,5;0;0
2017,75;0;0
2018;0;0
2018,25;0;0
2018,5;0;0
2018,75;0;0
2019;0;0
2019,25;0;0
2019,5;0;0
2019,75;0;1
2020;1;1
2020,25;1;1
2020,5;0;0
2020,75;0;0
2021;0;0
2021,25;0;0
2021,5;0;0
2021,75;0;0
2022;0;0
2022,25;0;0
2022,5;0;0
2022,75;0;0
2023;0;0
2023,25;0;0
2023,5;0;0
2023,75;0;0
2024;0;0
2024,25;0;0
2024,5;0;0
2024,75;0;0
2025;0;0
2025,25;0;0
2025,5;0;0
2025,75;0;0
